Município,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais,Total
TOTAL,684.752,706.982,731.212,776.328,817.933,773.821,778.038,754.027,699.1,616.898,553.19,471.698,379.819,298.02,232.209,156.897,185.697,9.616.621
260005 Abreu e Lima,6.25,6.545,6.953,7.829,8.309,7.544,7.732,8.193,7.835,7.175,6.437,5.611,4.697,3.485,2.523,1.555,1.677,100.35
260010 Afogados da Ingazeira,2.686,2.787,2.775,2.789,3.003,3.013,2.966,2.804,2.635,2.255,2.115,1.945,1.563,1.253,1.123,738,954,37.404
260020 Afrânio,1.673,1.639,1.562,1.678,1.753,1.544,1.606,1.458,1.387,1.184,1.046,858,624,531,537,335,395,19.81
260030 Agrestina,1.818,1.865,1.824,1.996,2.224,2.12,1.974,1.904,1.773,1.558,1.437,1.175,879,734,645,512,627,25.065
260040 Água Preta,3.13,3.137,3.033,3.235,3.441,3.248,3.39,3.044,2.535,2.159,1.896,1.402,1.11,820,640,442,420,37.082
260050 Águas Belas,4.352,4.247,3.963,3.76,3.733,3.448,3.344,2.852,2.674,2.166,1.928,1.744,1.381,1.262,1.101,776,955,43.686
260060 Alagoinha,1.116,1.188,1.175,1.136,1.195,1.127,1.104,1.014,958,888,846,748,624,476,385,332,406,14.718
260070 Aliança,2.793,2.919,2.938,3.056,3.102,3.08,2.99,3.183,2.75,2.376,2.269,1.894,1.557,1.231,922,668,669,38.397
260080 Altinho,1.453,1.497,1.467,1.702,1.858,1.803,1.842,1.719,1.562,1.488,1.494,1.165,1.013,824,705,581,811,22.984
260090 Amaraji,1.889,1.888,1.832,1.899,1.941,1.908,1.923,1.798,1.642,1.477,1.233,972,850,561,438,291,328,22.87
260100 Angelim,909,898,857,947,911,872,842,847,811,671,535,508,442,329,313,234,300,11.226
260105 Araçoiaba,1.683,1.738,1.723,1.805,1.897,1.819,1.766,1.658,1.363,1.24,1.176,903,648,486,337,241,250,20.733
260110 Araripina,7.732,7.716,7.467,7.506,8.071,6.549,6.877,5.894,5.324,4.639,4.28,3.466,2.591,2.054,1.828,1.387,1.483,84.864
260120 Arcoverde,5.698,5.879,6.094,6.502,6.432,5.904,5.958,5.489,4.932,4.283,4.109,3.601,2.794,2.262,1.852,1.384,1.649,74.822
260130 Barra de Guabiraba,1.217,1.198,1.159,1.274,1.334,1.32,1.211,1.143,1.042,845,717,592,455,334,242,184,243,14.51
260140 Barreiros,3.514,3.698,3.76,3.71,3.686,3.535,3.365,3.339,3.019,2.523,2.241,1.934,1.432,1.058,729,599,622,42.764
260150 Belém de Maria,1.026,1.067,1.012,1.063,1.134,1.044,968,843,765,751,620,454,396,298,251,195,235,12.122
260160 Belém do São Francisco,1.813,1.81,1.8,1.839,1.93,1.563,1.612,1.513,1.339,1.173,1.049,884,664,546,451,329,415,20.73
260170 Belo Jardim,5.511,5.635,5.631,6.087,6.912,6.718,6.212,5.827,5.091,4.693,4.405,3.743,2.92,2.255,1.874,1.396,1.777,76.687
260180 Betânia,1.079,1.084,1.024,1.035,1.004,954,1.03,986,908,701,672,519,432,417,362,264,294,12.765
260190 Bezerros,3.786,4.006,4.087,4.46,5.041,4.822,4.736,4.887,4.623,4.219,3.661,3.133,2.425,2.082,1.848,1.308,1.756,60.88
260200 Bodocó,3.521,3.502,3.288,3.175,3.485,3.061,3.088,2.713,2.426,2.026,1.916,1.594,1.282,1.086,902,597,716,38.378
260210 Bom Conselho,4.173,4.2,4.045,4.027,4.26,3.872,3.741,3.479,3.253,2.741,2.462,2.2,1.629,1.457,1.244,928,1.056,48.767
260220 Bom Jardim,2.534,2.677,2.597,2.738,3.209,3.302,3.035,3.13,2.804,2.694,2.425,1.967,1.591,1.436,1.158,832,1.107,39.236
260230 Bonito,3.038,3.108,2.937,3.051,3.324,3.223,2.929,2.62,2.501,2.335,2.146,1.65,1.401,1.212,978,714,950,38.117
260240 Brejão,751,755,701,686,837,750,662,677,582,557,467,395,301,280,221,157,208,8.987
260250 Brejinho,557,572,563,555,569,625,666,567,530,432,466,365,256,213,210,157,185,7.488
260260 Brejo da Madre de Deus,4.372,4.368,4.371,4.587,4.906,4.5,4.325,3.732,3.181,2.766,2.431,2.05,1.459,1.344,1.081,790,962,51.225
260270 Buenos Aires,985,1.012,1.046,1.071,997,928,1.026,1.112,1.007,811,780,684,550,413,323,221,224,13.19
260280 Buíque,5.855,5.81,5.265,5.163,5.306,4.99,4.225,3.908,3.543,3.075,2.839,2.416,1.763,1.505,1.225,953,1.078,58.919
260290 Cabo de Santo Agostinho,14.331,14.913,15.817,17.291,18.61,17.483,17.631,17.908,16.813,14.228,11.793,9.629,7.759,5.737,3.959,2.493,2.549,208.944
260300 Cabrobó,3.091,3.069,3.029,3.137,3.166,2.861,2.667,2.552,2.314,1.905,1.669,1.394,1.073,808,671,490,607,34.503
260310 Cachoeirinha,1.445,1.476,1.497,1.672,1.659,1.721,1.709,1.669,1.355,1.23,1.146,1.064,712,602,510,431,603,20.501
260320 Caetés,2.596,2.59,2.454,2.371,2.564,2.532,2.466,2.165,1.694,1.46,1.383,1.183,877,825,637,504,603,28.904
260330 Calçado,953,959,911,821,948,930,837,803,729,633,611,494,372,313,267,179,258,11.018
260340 Calumbi,432,438,417,436,403,459,452,436,378,377,370,274,213,206,165,137,154,5.747
260345 Camaragibe,9.8,10.179,10.818,12.612,13.5,12.628,12.578,12.933,13.145,11.982,10.139,8.204,6.631,5.017,3.813,2.377,2.543,158.899
260350 Camocim de São Félix,1.292,1.353,1.34,1.514,1.629,1.612,1.424,1.405,1.323,1.189,1.163,928,724,644,483,371,506,18.9
260360 Camutanga,612,645,634,629,704,697,637,682,592,550,549,420,298,285,221,180,237,8.572
260370 Canhotinho,1.937,1.976,1.903,1.96,2.155,2.09,1.935,1.896,1.685,1.436,1.296,1.062,934,741,658,500,609,24.773
260380 Capoeiras,1.639,1.686,1.594,1.472,1.73,1.723,1.641,1.397,1.239,1.135,1.037,954,733,665,520,408,475,20.048
260390 Carnaíba,1.47,1.538,1.49,1.402,1.495,1.647,1.511,1.35,1.378,1.222,1.17,999,761,713,539,407,517,19.609
260392 Carnaubeira da Penha,1.465,1.412,1.29,1.23,1.232,1.122,1.04,818,725,562,515,386,296,304,265,148,215,13.025
260400 Carpina,5.578,5.878,6.22,6.618,7.059,6.582,6.58,6.856,6.859,5.759,5.043,4.475,3.502,2.709,1.913,1.292,1.472,84.395
260410 Caruaru,25.651,26.634,29.009,31.675,32.672,31.059,31.793,29.28,26.342,23.096,20.526,17.048,12.416,9.348,7.51,5.094,6.125,365.278
260415 Casinhas,1.103,1.123,1.095,1.14,1.152,1.27,1.223,1.157,937,754,734,662,531,438,386,254,409,14.368
260420 Catende,3.672,3.792,3.755,3.691,3.812,3.577,3.545,3.164,2.79,2.615,2.325,1.866,1.545,1.095,824,578,694,43.34
260430 Cedro,961,978,959,992,1.073,1.079,1.09,815,749,629,616,571,375,301,275,202,226,11.891
260440 Chã de Alegria,1.02,1.011,1,1.094,1.129,1.143,1.153,1.107,1.004,846,769,610,482,442,349,207,240,13.606
